#pLT is two-dimensional [i,r]=[component, individual]
#[i,*] means all data in row i.

param pLT := 
[1,*]
1  0    2  4    3  8    4  6    5  7    6  7    7  6    8  4    9  7    10 6    
11 7    12 8    13 8    14 5    15 6    16 4    17 7    18 8    19 7    20 5    
21 7    22 7    23 5    24 5    25 8    26 7    27 6    28 8    29 6    30 5    
31 7    32 5    

[2,*]
1  1    2  4    3  3    4  4    5  4    6  3    7  2    8  4    9  4    10 4    
11 4    12 4    13 3    14 3    15 2    16 4    17 4    18 4    19 3    20 4    
21 4    22 3    23 3    24 4    25 4    26 3    27 4    28 3    29 3    30 4    
31 3    32 4    

[3,*]
1  1    2  2    3  3    4  3    5  3    6  2    7  3    8  3    9  3    10 3    
11 3    12 2    13 2    14 2    15 3    16 3    17 3    18 2    19 3    20 3    
21 2    22 2    23 3    24 3    25 2    26 3    27 3    28 2    29 3    30 2    
31 3    32 3    

[4,*]
1  1    2  3    3  2    4  2    5  1    6  2    7  2    8  2    9  3    10 3    
11 2    12 2    13 1    14 2    15 3    16 3    17 2    18 2    19 2    20 2    
21 2    22 3    23 3    24 2    25 3    26 2    27 2    28 3    29 2    30 3    
31 2    32 3    

[5,*]
1  1    2  2    3  1    4  1    5  1    6  1    7  1    8  2    9  2    10 1    
11 1    12 1    13 2    14 2    15 2    16 1    17 1    18 1    19 1    20 1    
21 2    22 2    23 1    24 2    25 1    26 1    27 2    28 1    29 2    30 1    
31 2    32 2    

[6,*]
1  2    2  4    3  2    4  4    5  4    6  4    7  5    8  5    9  3    10 3    
11 2    12 4    13 5    14 4    15 3    16 4    17 4    18 3    19 3    20 5    
21 4    22 4    23 5    24 4    25 3    26 5    27 3    28 5    29 4    30 5    
31 5    32 5    

[7,*]
1  4    2  4    3  6    4  6    5  6    6  7    7  7    8  5    9  5    10 4    
11 6    12 7    13 6    14 4    15 6    16 6    17 5    18 5    19 7    20 6    
21 6    22 7    23 6    24 5    25 6    26 5    27 7    28 6    29 7    30 6    
31 7    32 6    

[8,*]
1  1    2  1    3  1    4  1    5  2    6  2    7  1    8  1    9  1    10 1    
11 2    12 1    13 1    14 1    15 1    16 1    17 1    18 2    19 2    20 1    
21 2    22 1    23 1    24 2    25 1    26 2    27 1    28 2    29 2    30 2    
31 1    32 1    
;
