#pLT is two-dimensional [i,r]=[component, individual]
#[i,*] means all data in row i.

param pLT := 
[1,*]
1  0    2  3    3  6    4  4    5  8    6  4    7  8    8  6    9  7    10 7    
11 6    12 4    13 7    14 6    15 7    16 8    17 8    18 5    19 6    20 4    
21 7    22 8    23 7    24 5    25 7    26 7    27 5    28 5    29 8    30 7    
31 6    32 8    

[2,*]
1  1    2  3    3  2    4  4    5  2    6  4    7  3    8  4    9  4    10 3    
11 2    12 4    13 4    14 4    15 4    16 4    17 3    18 3    19 2    20 4    
21 4    22 4    23 3    24 4    25 4    26 3    27 3    28 4    29 4    30 3    
31 4    32 3    

[3,*]
1  1    2  2    3  3    4  1    5  3    6  2    7  3    8  3    9  3    10 2    
11 3    12 3    13 3    14 3    15 3    16 2    17 2    18 2    19 3    20 3    
21 3    22 2    23 3    24 3    25 2    26 2    27 3    28 3    29 2    30 3    
31 3    32 2    

[4,*]
1  1    2  3    3  1    4  3    5  2    6  3    7  2    8  2    9  1    10 2    
11 2    12 2    13 3    14 3    15 2    16 2    17 1    18 2    19 3    20 3    
21 2    22 2    23 2    24 2    25 2    26 3    27 3    28 2    29 3    30 2    
31 2    32 3    
;
