#pLT is two-dimensional [i,r]=[component, individual]
#[i,*] means all data in row i.

param pLT := 
[1,*]
1  0    2  7    3  6    4  5    5  7    6  7    7  6    8  6    9  7    10 6    
11 7    12 8    13 4    14 7    15 6    16 8    17 6    18 4    19 8    20 4    
21 4    22 6    23 7    24 5    25 6    26 8    27 6    28 6    29 9    30 8    
31 6    32 6    

[2,*]
1  2    2  3    3  3    4  4    5  4    6  4    7  3    8  4    9  4    10 4    
11 4    12 2    13 4    14 3    15 4    16 3    17 2    18 4    19 2    20 2    
21 3    22 4    23 3    24 3    25 4    26 3    27 3    28 5    29 4    30 3    
31 3    32 3    

[3,*]
1  1    2  2    3  3    4  3    5  3    6  2    7  3    8  3    9  3    10 3    
11 1    12 3    13 2    14 3    15 2    16 2    17 3    18 1    19 2    20 2    
21 3    22 2    23 2    24 3    25 2    26 2    27 4    28 3    29 2    30 2    
31 2    32 3    

[4,*]
1  1    2  2    3  3    4  2    5  2    6  2    7  2    8  3    9  3    10 1    
11 2    12 2    13 3    14 2    15 1    16 3    17 1    18 1    19 2    20 2    
21 2    22 2    23 3    24 2    25 2    26 3    27 3    28 2    29 2    30 2    
31 2    32 2    
;
