#pLT is two-dimensional [i,r]=[component, individual]
#[i,*] means all data in row i.

param pLT := 
[1,*]
1  0    2  7    3  5    4  8    5  7    6  8    7  7    8  8    9  7    10 4    
11 6    12 5    13 7    14 7    15 7    16 7    17 8    18 6    19 8    20 3    
21 4    22 5    23 6    24 7    25 8    26 7    27 4    28 5    29 6    30 9    
31 7    32 4    

[2,*]
1  2    2  3    3  4    4  4    5  4    6  4    7  4    8  4    9  2    10 3    
11 3    12 4    13 4    14 4    15 4    16 4    17 3    18 4    19 2    20 2    
21 3    22 3    23 4    24 4    25 4    26 2    27 3    28 4    29 5    30 4    
31 3    32 3    

[3,*]
1  1    2  3    3  3    4  3    5  3    6  3    7  3    8  2    9  2    10 2    
11 3    12 3    13 3    14 3    15 3    16 2    17 3    18 1    19 1    20 2    
21 2    22 3    23 3    24 3    25 1    26 2    27 3    28 3    29 3    30 2    
31 2    32 3    

[4,*]
1  1    2  2    3  3    4  3    5  3    6  2    7  1    8  2    9  2    10 2    
11 3    12 2    13 2    14 3    15 2    16 3    17 1    18 1    19 1    20 2    
21 3    22 3    23 3    24 1    25 2    26 2    27 3    28 3    29 1    30 2    
31 3    32 2    
;
