#pLT is two-dimensional [i,r]=[component, individual]
#[i,*] means all data in row i.

param pLT := 
[1,*]
1  0    2  7    3  7    4  7    5  7    6  8    7  6    8  8    9  3    10 4    
11 5    12 6    13 7    14 8    15 7    16 4    17 5    18 6    19 9    20 7    
21 4    22 5    23 7    24 6    25 4    26 6    27 8    28 6    29 8    30 4    
31 4    32 6    

[2,*]
1  2    2  4    3  4    4  4    5  4    6  3    7  4    8  2    9  2    10 3    
11 3    12 4    13 4    14 4    15 2    16 3    17 4    18 5    19 4    20 3    
21 3    22 4    23 3    24 2    25 3    26 4    27 3    28 4    29 2    30 3    
31 3    32 4    

[3,*]
1  1    2  3    3  3    4  3    5  2    6  3    7  1    8  1    9  2    10 2    
11 3    12 3    13 3    14 1    15 2    16 3    17 3    18 3    19 2    20 2    
21 3    22 2    23 2    24 2    25 3    26 2    27 3    28 1    29 2    30 2    
31 3    32 1    

[4,*]
1  1    2  2    3  3    4  2    5  3    6  1    7  1    8  1    9  2    10 3    
11 3    12 3    13 1    14 2    15 2    16 3    17 3    18 1    19 2    20 3    
21 2    22 1    23 2    24 3    25 2    26 3    27 1    28 1    29 2    30 3    
31 1    32 2    
;
